school_key,מוסד,מועצה,מין,גיוס,לחימה,קצונה,משמעותי,Unnamed: 8,המידע המוצג הינו מתוך מערכת מוסדות וערים שממנה יוצאים כל שנה נתונים אחרי אישור של לשכת רחט,פיקוח,מגזר,מחוז,רשות,ישוב,סוג מוסד,שלב חינוך במוסד,תלמידים_בנים,תלמידים_בנות,תלמידים,קבוצה,תלמידים_יב
444687,אנקורי,ראשוןלציון,ז,67.57,48.0,6.25,96.0,,,ממלכתי,יהודי,מרכז,ראשון לציון,ראשון לציון,בית ספר,עליונה בלבד,23.0,50.0,73.0,חילוני - ערי מרכז,23.0
165852,"ישיבת בנ""ע לפיד מודיעין",מודיעין-מכבים-רעות,ז,97.5,63.87,15.74,94.19,,,ממלכתי דתי,יהודי,ירושלים,מודיעין מכבים רעות,מודיעין-מכבים-רעות,ישיבה תיכונית,"חט""ב + עליונה",177.0,0.0,177.0,דתי לאומי - מרכז,177.0
440545,גמנסיה עתידים לילנטל,רמלה,ז,87.34,28.99,4.05,86.96,,,ממלכתי,יהודי,מרכז,רמלה,רמלה,בית ספר,"חט""ב + עליונה",65.0,79.0,144.0,חילוני - ערי פריפריה,65.0
444737,נחשון למדעים טכנולוגיה ואומנות,שוהם,ז,100.0,62.12,10.0,92.42,,,ממלכתי,יהודי,מרכז,חבל מודיעין,מרכז אזורי שוהם,בית ספר,"חט""ב + עליונה",87.0,88.0,175.0,חילוני - קיבוצים/כפרי,87.0
226670,ברנקו וייס אתגרי בית שמש,בית שמש,ז,81.25,19.23,0.0,76.92,,,ממלכתי,יהודי,ירושלים,בית שמש,בית שמש,מרכז חינוך,עליונה בלבד,22.0,19.0,41.0,חילוני - ערי פריפריה,22.0
470047,רב תחומי עמל יגאל אלון רמלה,רמלה,ז,84.62,35.19,4.44,85.17999999999999,,,ממלכתי,יהודי,מרכז,רמלה,רמלה,בית ספר,עליונה בלבד,46.0,60.0,106.0,חילוני - ערי פריפריה,46.0
644583,מקיף חדש ט',אשדוד,ז,94.78,41.27,2.78,87.30000000000001,,,ממלכתי,יהודי,דרום,אשדוד,אשדוד,בית ספר,"חט""ב + עליונה",119.0,102.0,221.0,חילוני - ערי פריפריה,119.0
660498,מקיף שיטים,ספיר,ז,97.5,71.79,0.0,94.88,,,ממלכתי,יהודי,דרום,הערבה התיכונה,ספיר,"בי""ס מושבי","חט""ב + עליונה",35.0,34.0,69.0,חילוני - קיבוצים/כפרי,35.0
460097,תיכון תורני דרך אבות,אפרת,ז,89.89,71.25,6.45,97.5,,,ממלכתי דתי,יהודי,ירושלים,אפרת,אפרת,בית ספר,"חט""ב + עליונה",88.0,0.0,88.0,דתי לאומי - התנחלויות,88.0
480178,"מקיף ע""ש ז'בוטינסקי",באר יעקב,ז,85.54,28.17,2.67,95.77000000000001,,,ממלכתי,יהודי,מרכז,באר יעקב,באר יעקב,"בי""ס חקלאי","חט""ב + עליונה",97.0,76.0,173.0,חילוני - ערי מרכז,97.0
140129,קרית נוער ירושלים,ירושלים,ז,83.56,45.76,2.27,88.14,,,ממלכתי דתי,יהודי,ירושלים,ירושלים,ירושלים,ישיבה תיכונית,"חט""ב + עליונה",52.0,0.0,52.0,דתי לאומי - ירושלים,52.0
444828,שש שנתי איש שלום,כפר יונה,ז,95.24,47.86,7.32,88.57,,,ממלכתי,יהודי,מרכז,כפר יונה,כפר יונה,בית ספר,"חט""ב + עליונה",174.0,185.0,359.0,חילוני - ערי מרכז,174.0
370080,"מכללה טכ' ע""ש סיטרין",בית צבי,ז,76.6,47.22,0.0,80.55,,,חרדי,יהודי,חיפה,חוף הכרמל,בית צבי,מרכז חינוך,יסודי ועליונה,56.0,0.0,56.0,חרדי - ערים מעורבות,56.0
470096,ק.ח אורט יד ליבוביץ,נתניה,ז,90.32,38.34,3.68,83.42000000000002,,,ממלכתי,יהודי,תל אביב,נתניה,נתניה,בית ספר,עליונה בלבד,222.0,220.0,442.0,חילוני - ערי מרכז,222.0
380030,חקלאי פרדס-חנה,פרדס חנה,ז,95.65,55.84,5.36,87.66,,,ממלכתי,יהודי,חיפה,פרדס חנה-כרכור,פרדס חנה-כרכור,"בי""ס חקלאי","חט""ב + עליונה",151.0,152.0,303.0,חילוני - ערי מרכז,151.0
480046,קרית חינוך בן גוריון,מד. רופין,ז,91.72,63.91,13.04,93.22999999999999,,,ממלכתי,יהודי,מרכז,עמק חפר,מדרשת רופין,"בי""ס מושבי","חט""ב + עליונה",176.0,132.0,308.0,חילוני - קיבוצים/כפרי,176.0
644492,"מקיף ע""ש מנחם בגין",אילת,ז,92.41,52.78,1.25,86.11,,,ממלכתי,יהודי,דרום,אילת,אילת,בית ספר,"חט""ב + עליונה",68.0,82.0,150.0,חילוני - ערי פריפריה,68.0
288159,ישיבת בניין אב,ירושלים,ז,6.67,100.0,0.0,100.0,,,חרדי,יהודי,ירושלים,ירושלים,ירושלים,בית ספר,עליונה בלבד,54.0,0.0,54.0,חרדי - ירושלים,54.0
490037,עירוני משה שרת,נתניה,ז,92.04,40.38,9.57,88.46000000000001,,,ממלכתי,יהודי,תל אביב,נתניה,נתניה,בית ספר,"חט""ב + עליונה",120.0,104.0,224.0,חילוני - ערי מרכז,120.0
470542,תיכון טכנולוגי נעמת,ראשוןלציון,ז,83.64,36.36,0.0,84.09,,,ממלכתי,יהודי,מרכז,ראשון לציון,ראשון לציון,מרכז חינוך,עליונה בלבד,45.0,21.0,66.0,חילוני - ערי מרכז,45.0
440727,ישיבת תומכי תמימים,לוד,ז,21.74,0.0,0.0,66.67,,,חרדי,יהודי,מרכז,לוד,לוד,בית ספר,עליונה בלבד,63.0,0.0,63.0,חרדי - ערים מעורבות,63.0
660076,מקיף צפית,כפר מנחם,ז,94.32,69.88,14.61,84.34,,,ממלכתי,יהודי,דרום,יואב,כפר מנחם,"בי""ס קיבוצי","חט""ב + עליונה",97.0,60.0,157.0,חילוני - קיבוצים/כפרי,97.0
541052,ישיבת קרלין סטולין,בני ברק,ז,27.78,53.33,0.0,93.33,,,חרדי,יהודי,תל אביב,בני ברק,בני ברק,מרכז חינוך,עליונה בלבד,34.0,0.0,34.0,חרדי - ערי חרדים,34.0
440347,ישיבת בני עקיבא,נתניה,ז,94.03,55.56,7.69,92.06,,,ממלכתי דתי,יהודי,תל אביב,נתניה,נתניה,ישיבה תיכונית,"חט""ב + עליונה",38.0,0.0,38.0,דתי לאומי - מרכז,38.0
470187,תיכון תמר אריאל,נתניה,ז,94.87,47.95,3.17,84.92999999999999,,,ממלכתי דתי,יהודי,תל אביב,נתניה,נתניה,בית ספר,"חט""ב + עליונה",71.0,86.0,157.0,דתי לאומי - מרכז,71.0
482059,"בי""ס תיכון אורנית",אורנית,ז,98.55,64.71,7.46,92.65,,,ממלכתי,יהודי,מרכז,אורנית,אורנית,בית ספר,עליונה בלבד,92.0,92.0,184.0,חילוני - התנחלויות,92.0
480087,חקלאי נחלת יהודה,ראשוןלציון,ז,96.67,53.57,0.0,89.29,,,ממלכתי,יהודי,מרכז,ראשון לציון,ראשון לציון,"בי""ס חקלאי","חט""ב + עליונה",37.0,30.0,67.0,חילוני - ערי מרכז,37.0
540351,עירוני א' חשמונאים,בת ים,ז,94.12,51.25,4.55,87.5,,,ממלכתי,יהודי,תל אביב,בת ים,בת ים,בית ספר,"חט""ב + עליונה",57.0,109.0,166.0,חילוני - ערי מרכז,57.0
240796,ברנקו וייס טבריה,טבריה,ז,73.33,45.45,0.0,81.81,,,ממלכתי,יהודי,צפון,טבריה,טבריה,מרכז חינוך,עליונה בלבד,12.0,19.0,31.0,חילוני - ערי פריפריה,12.0
444935,"ברנקו וייס מקיף ע""ש רבין",מזכרת בתיה,ז,95.19,57.58,7.21,91.92,,,ממלכתי,יהודי,מרכז,מזכרת בתיה,מזכרת בתיה,בית ספר,"חט""ב + עליונה",105.0,85.0,190.0,חילוני - ערי מרכז,105.0
456913,תיכון שש שנתי,רמלה,ז,97.37,27.03,0.0,89.18,,,ממלכתי,יהודי,מרכז,רמלה,רמלה,בית ספר,"חט""ב + עליונה",50.0,71.0,121.0,חילוני - ערי פריפריה,50.0
444646,ישיבת בני עקיבא ראשון לציון,ראשוןלציון,ז,93.33,75.0,3.33,92.86,,,ממלכתי דתי,יהודי,מרכז,ראשון לציון,ראשון לציון,ישיבה תיכונית,"חט""ב + עליונה",43.0,0.0,43.0,דתי לאומי - מרכז,43.0
410225,"תיכון ע""ש אל""מ עודד ראור",נאות קדומי,ז,94.51,53.49,7.75,94.18,,,ממלכתי,יהודי,מרכז,צורן קדימה,קדימה-צורן,בית ספר,עליונה בלבד,191.0,157.0,348.0,חילוני - ערי מרכז,191.0
